analysis_group	model	fpr	tpr	auc
Stool Prospective	mlp	0.0	0.23	0.599
Stool Prospective	mlp	0.0101010101010101	0.23	0.599
Stool Prospective	mlp	0.0202020202020202	0.23	0.599
Stool Prospective	mlp	0.0303030303030303	0.23	0.599
Stool Prospective	mlp	0.0404040404040404	0.23	0.599
Stool Prospective	mlp	0.0505050505050505	0.23	0.599
Stool Prospective	mlp	0.0606060606060606	0.23	0.599
Stool Prospective	mlp	0.0707070707070707	0.23	0.599
Stool Prospective	mlp	0.0808080808080808	0.23	0.599
Stool Prospective	mlp	0.0909090909090909	0.23	0.599
Stool Prospective	mlp	0.101010101010101	0.23	0.599
Stool Prospective	mlp	0.1111111111111111	0.23	0.599
Stool Prospective	mlp	0.1212121212121212	0.23	0.599
Stool Prospective	mlp	0.1313131313131313	0.23	0.599
Stool Prospective	mlp	0.1414141414141414	0.23	0.599
Stool Prospective	mlp	0.1515151515151515	0.23	0.599
Stool Prospective	mlp	0.1616161616161616	0.23	0.599
Stool Prospective	mlp	0.1717171717171717	0.4233333333333333	0.599
Stool Prospective	mlp	0.1818181818181818	0.4233333333333333	0.599
Stool Prospective	mlp	0.1919191919191919	0.4233333333333333	0.599
Stool Prospective	mlp	0.202020202020202	0.4233333333333333	0.599
Stool Prospective	mlp	0.2121212121212121	0.4233333333333333	0.599
Stool Prospective	mlp	0.2222222222222222	0.4233333333333333	0.599
Stool Prospective	mlp	0.2323232323232323	0.4233333333333333	0.599
Stool Prospective	mlp	0.2424242424242424	0.4233333333333333	0.599
Stool Prospective	mlp	0.2525252525252525	0.4233333333333333	0.599
Stool Prospective	mlp	0.2626262626262626	0.4233333333333333	0.599
Stool Prospective	mlp	0.2727272727272727	0.4233333333333333	0.599
Stool Prospective	mlp	0.2828282828282829	0.4233333333333333	0.599
Stool Prospective	mlp	0.2929292929292929	0.4233333333333333	0.599
Stool Prospective	mlp	0.303030303030303	0.4233333333333333	0.599
Stool Prospective	mlp	0.3131313131313131	0.4233333333333333	0.599
Stool Prospective	mlp	0.3232323232323232	0.4233333333333333	0.599
Stool Prospective	mlp	0.3333333333333333	0.5700000000000001	0.599
Stool Prospective	mlp	0.3434343434343435	0.5700000000000001	0.599
Stool Prospective	mlp	0.3535353535353536	0.5700000000000001	0.599
Stool Prospective	mlp	0.3636363636363636	0.5700000000000001	0.599
Stool Prospective	mlp	0.3737373737373737	0.5700000000000001	0.599
Stool Prospective	mlp	0.3838383838383838	0.5700000000000001	0.599
Stool Prospective	mlp	0.393939393939394	0.5700000000000001	0.599
Stool Prospective	mlp	0.4040404040404041	0.5700000000000001	0.599
Stool Prospective	mlp	0.4141414141414142	0.5700000000000001	0.599
Stool Prospective	mlp	0.4242424242424242	0.5700000000000001	0.599
Stool Prospective	mlp	0.4343434343434343	0.5700000000000001	0.599
Stool Prospective	mlp	0.4444444444444445	0.5700000000000001	0.599
Stool Prospective	mlp	0.4545454545454546	0.5700000000000001	0.599
Stool Prospective	mlp	0.4646464646464647	0.5700000000000001	0.599
Stool Prospective	mlp	0.4747474747474748	0.5700000000000001	0.599
Stool Prospective	mlp	0.4848484848484848	0.5700000000000001	0.599
Stool Prospective	mlp	0.494949494949495	0.5700000000000001	0.599
Stool Prospective	mlp	0.5050505050505051	0.6933333333333331	0.599
Stool Prospective	mlp	0.5151515151515152	0.6933333333333331	0.599
Stool Prospective	mlp	0.5252525252525253	0.6933333333333331	0.599
Stool Prospective	mlp	0.5353535353535354	0.6933333333333331	0.599
Stool Prospective	mlp	0.5454545454545455	0.6933333333333331	0.599
Stool Prospective	mlp	0.5555555555555556	0.6933333333333331	0.599
Stool Prospective	mlp	0.5656565656565657	0.6933333333333331	0.599
Stool Prospective	mlp	0.5757575757575758	0.6933333333333331	0.599
Stool Prospective	mlp	0.5858585858585859	0.6933333333333331	0.599
Stool Prospective	mlp	0.595959595959596	0.6933333333333331	0.599
Stool Prospective	mlp	0.6060606060606061	0.6933333333333331	0.599
Stool Prospective	mlp	0.6161616161616162	0.6933333333333331	0.599
Stool Prospective	mlp	0.6262626262626263	0.6933333333333331	0.599
Stool Prospective	mlp	0.6363636363636365	0.6933333333333331	0.599
Stool Prospective	mlp	0.6464646464646465	0.6933333333333331	0.599
Stool Prospective	mlp	0.6565656565656566	0.6933333333333331	0.599
Stool Prospective	mlp	0.6666666666666667	0.8	0.599
Stool Prospective	mlp	0.6767676767676768	0.8	0.599
Stool Prospective	mlp	0.686868686868687	0.8	0.599
Stool Prospective	mlp	0.696969696969697	0.8	0.599
Stool Prospective	mlp	0.7070707070707072	0.8	0.599
Stool Prospective	mlp	0.7171717171717172	0.8	0.599
Stool Prospective	mlp	0.7272727272727273	0.8	0.599
Stool Prospective	mlp	0.7373737373737375	0.8	0.599
Stool Prospective	mlp	0.7474747474747475	0.8	0.599
Stool Prospective	mlp	0.7575757575757577	0.8	0.599
Stool Prospective	mlp	0.7676767676767677	0.8	0.599
Stool Prospective	mlp	0.7777777777777778	0.8	0.599
Stool Prospective	mlp	0.787878787878788	0.8	0.599
Stool Prospective	mlp	0.797979797979798	0.8	0.599
Stool Prospective	mlp	0.8080808080808082	0.8	0.599
Stool Prospective	mlp	0.8181818181818182	0.8	0.599
Stool Prospective	mlp	0.8282828282828284	0.8	0.599
Stool Prospective	mlp	0.8383838383838385	0.8800000000000003	0.599
Stool Prospective	mlp	0.8484848484848485	0.8800000000000003	0.599
Stool Prospective	mlp	0.8585858585858587	0.8800000000000003	0.599
Stool Prospective	mlp	0.8686868686868687	0.8800000000000003	0.599
Stool Prospective	mlp	0.8787878787878789	0.8800000000000003	0.599
Stool Prospective	mlp	0.888888888888889	0.8800000000000003	0.599
Stool Prospective	mlp	0.8989898989898991	0.8800000000000003	0.599
Stool Prospective	mlp	0.9090909090909092	0.8800000000000003	0.599
Stool Prospective	mlp	0.9191919191919192	0.8800000000000003	0.599
Stool Prospective	mlp	0.9292929292929294	0.8800000000000003	0.599
Stool Prospective	mlp	0.9393939393939394	0.8800000000000003	0.599
Stool Prospective	mlp	0.9494949494949496	0.8800000000000003	0.599
Stool Prospective	mlp	0.9595959595959596	0.8800000000000003	0.599
Stool Prospective	mlp	0.9696969696969696	0.8800000000000003	0.599
Stool Prospective	mlp	0.97979797979798	0.8800000000000003	0.599
Stool Prospective	mlp	0.98989898989899	0.8800000000000003	0.599
Stool Prospective	mlp	1.0	1.0	0.599
Stool Active	rf	0.0	0.4233333333333332	0.792
Stool Active	rf	0.0101010101010101	0.4233333333333332	0.792
Stool Active	rf	0.0202020202020202	0.4233333333333332	0.792
Stool Active	rf	0.0303030303030303	0.4233333333333332	0.792
Stool Active	rf	0.0404040404040404	0.4233333333333332	0.792
Stool Active	rf	0.0505050505050505	0.4233333333333332	0.792
Stool Active	rf	0.0606060606060606	0.4233333333333332	0.792
Stool Active	rf	0.0707070707070707	0.4233333333333332	0.792
Stool Active	rf	0.0808080808080808	0.4233333333333332	0.792
Stool Active	rf	0.0909090909090909	0.4233333333333332	0.792
Stool Active	rf	0.101010101010101	0.5533333333333332	0.792
Stool Active	rf	0.1111111111111111	0.5899999999999999	0.792
Stool Active	rf	0.1212121212121212	0.5899999999999999	0.792
Stool Active	rf	0.1313131313131313	0.5899999999999999	0.792
Stool Active	rf	0.1414141414141414	0.5899999999999999	0.792
Stool Active	rf	0.1515151515151515	0.5899999999999999	0.792
Stool Active	rf	0.1616161616161616	0.5899999999999999	0.792
Stool Active	rf	0.1717171717171717	0.5899999999999999	0.792
Stool Active	rf	0.1818181818181818	0.5899999999999999	0.792
Stool Active	rf	0.1919191919191919	0.5899999999999999	0.792
Stool Active	rf	0.202020202020202	0.6833333333333331	0.792
Stool Active	rf	0.2121212121212121	0.6833333333333331	0.792
Stool Active	rf	0.2222222222222222	0.6933333333333332	0.792
Stool Active	rf	0.2323232323232323	0.6936363636363636	0.792
Stool Active	rf	0.2424242424242424	0.6939393939393939	0.792
Stool Active	rf	0.2525252525252525	0.6942424242424241	0.792
Stool Active	rf	0.2626262626262626	0.6945454545454544	0.792
Stool Active	rf	0.2727272727272727	0.6948484848484847	0.792
Stool Active	rf	0.2828282828282829	0.695151515151515	0.792
Stool Active	rf	0.2929292929292929	0.6954545454545453	0.792
Stool Active	rf	0.303030303030303	0.7424242424242423	0.792
Stool Active	rf	0.3131313131313131	0.7427272727272727	0.792
Stool Active	rf	0.3232323232323232	0.7430303030303029	0.792
Stool Active	rf	0.3333333333333333	0.7733333333333333	0.792
Stool Active	rf	0.3434343434343435	0.7733333333333333	0.792
Stool Active	rf	0.3535353535353536	0.7733333333333333	0.792
Stool Active	rf	0.3636363636363636	0.7733333333333333	0.792
Stool Active	rf	0.3737373737373737	0.7733333333333333	0.792
Stool Active	rf	0.3838383838383838	0.7733333333333333	0.792
Stool Active	rf	0.393939393939394	0.7733333333333333	0.792
Stool Active	rf	0.4040404040404041	0.8133333333333331	0.792
Stool Active	rf	0.4141414141414142	0.8133333333333331	0.792
Stool Active	rf	0.4242424242424242	0.8133333333333331	0.792
Stool Active	rf	0.4343434343434343	0.8133333333333331	0.792
Stool Active	rf	0.4444444444444445	0.8199999999999998	0.792
Stool Active	rf	0.4545454545454546	0.8199999999999998	0.792
Stool Active	rf	0.4646464646464647	0.8199999999999998	0.792
Stool Active	rf	0.4747474747474748	0.8199999999999998	0.792
Stool Active	rf	0.4848484848484848	0.8199999999999998	0.792
Stool Active	rf	0.494949494949495	0.8199999999999998	0.792
Stool Active	rf	0.5050505050505051	0.8566666666666666	0.792
Stool Active	rf	0.5151515151515152	0.8566666666666666	0.792
Stool Active	rf	0.5252525252525253	0.8566666666666666	0.792
Stool Active	rf	0.5353535353535354	0.8566666666666666	0.792
Stool Active	rf	0.5454545454545455	0.8566666666666666	0.792
Stool Active	rf	0.5555555555555556	0.8633333333333333	0.792
Stool Active	rf	0.5656565656565657	0.8633333333333333	0.792
Stool Active	rf	0.5757575757575758	0.8633333333333333	0.792
Stool Active	rf	0.5858585858585859	0.8633333333333333	0.792
Stool Active	rf	0.595959595959596	0.8633333333333333	0.792
Stool Active	rf	0.6060606060606061	0.9035353535353536	0.792
Stool Active	rf	0.6161616161616162	0.903872053872054	0.792
Stool Active	rf	0.6262626262626263	0.9042087542087542	0.792
Stool Active	rf	0.6363636363636365	0.9045454545454544	0.792
Stool Active	rf	0.6464646464646465	0.9048821548821548	0.792
Stool Active	rf	0.6565656565656566	0.9052188552188551	0.792
Stool Active	rf	0.6666666666666667	0.9055555555555556	0.792
Stool Active	rf	0.6767676767676768	0.905892255892256	0.792
Stool Active	rf	0.686868686868687	0.9062289562289564	0.792
Stool Active	rf	0.696969696969697	0.9065656565656566	0.792
Stool Active	rf	0.7070707070707072	0.9266666666666667	0.792
Stool Active	rf	0.7171717171717172	0.9266666666666667	0.792
Stool Active	rf	0.7272727272727273	0.9266666666666667	0.792
Stool Active	rf	0.7373737373737375	0.9266666666666667	0.792
Stool Active	rf	0.7474747474747475	0.9266666666666667	0.792
Stool Active	rf	0.7575757575757577	0.9266666666666667	0.792
Stool Active	rf	0.7676767676767677	0.9266666666666667	0.792
Stool Active	rf	0.7777777777777778	0.9466666666666664	0.792
Stool Active	rf	0.787878787878788	0.9466666666666664	0.792
Stool Active	rf	0.797979797979798	0.9466666666666664	0.792
Stool Active	rf	0.8080808080808082	0.9636026936026936	0.792
Stool Active	rf	0.8181818181818182	0.963939393939394	0.792
Stool Active	rf	0.8282828282828284	0.9642760942760944	0.792
Stool Active	rf	0.8383838383838385	0.9646127946127944	0.792
Stool Active	rf	0.8484848484848485	0.9649494949494948	0.792
Stool Active	rf	0.8585858585858587	0.9652861952861952	0.792
Stool Active	rf	0.8686868686868687	0.9656228956228956	0.792
Stool Active	rf	0.8787878787878789	0.9659595959595958	0.792
Stool Active	rf	0.888888888888889	0.9696296296296296	0.792
Stool Active	rf	0.8989898989898991	0.9699663299663298	0.792
Stool Active	rf	0.9090909090909092	0.98	0.792
Stool Active	rf	0.9191919191919192	0.98	0.792
Stool Active	rf	0.9292929292929294	0.98	0.792
Stool Active	rf	0.9393939393939394	0.98	0.792
Stool Active	rf	0.9494949494949496	0.98	0.792
Stool Active	rf	0.9595959595959596	0.98	0.792
Stool Active	rf	0.9696969696969696	0.98	0.792
Stool Active	rf	0.97979797979798	0.98	0.792
Stool Active	rf	0.98989898989899	0.98	0.792
Stool Active	rf	1.0	1.0	0.792
Stool Treated	rf	0.0	0.5380769230769229	0.913
Stool Treated	rf	0.0101010101010101	0.5385651385651384	0.913
Stool Treated	rf	0.0202020202020202	0.539053354053354	0.913
Stool Treated	rf	0.0303030303030303	0.5395415695415694	0.913
Stool Treated	rf	0.0404040404040404	0.5400297850297849	0.913
Stool Treated	rf	0.0505050505050505	0.5405180005180005	0.913
Stool Treated	rf	0.0606060606060606	0.5410062160062159	0.913
Stool Treated	rf	0.0707070707070707	0.5414944314944313	0.913
Stool Treated	rf	0.0808080808080808	0.5419826469826469	0.913
Stool Treated	rf	0.0909090909090909	0.5424708624708624	0.913
Stool Treated	rf	0.101010101010101	0.6346089096089096	0.913
Stool Treated	rf	0.1111111111111111	0.7833903133903134	0.913
Stool Treated	rf	0.1212121212121212	0.7836985236985238	0.913
Stool Treated	rf	0.1313131313131313	0.7840067340067339	0.913
Stool Treated	rf	0.1414141414141414	0.7843149443149443	0.913
Stool Treated	rf	0.1515151515151515	0.7846231546231546	0.913
Stool Treated	rf	0.1616161616161616	0.784931364931365	0.913
Stool Treated	rf	0.1717171717171717	0.7852395752395752	0.913
Stool Treated	rf	0.1818181818181818	0.7855477855477855	0.913
Stool Treated	rf	0.1919191919191919	0.7858559958559959	0.913
Stool Treated	rf	0.202020202020202	0.8161305361305361	0.913
Stool Treated	rf	0.2121212121212121	0.8162703962703962	0.913
Stool Treated	rf	0.2222222222222222	0.9110256410256412	0.913
Stool Treated	rf	0.2323232323232323	0.9113286713286716	0.913
Stool Treated	rf	0.2424242424242424	0.9116317016317018	0.913
Stool Treated	rf	0.2525252525252525	0.911934731934732	0.913
Stool Treated	rf	0.2626262626262626	0.9122377622377624	0.913
Stool Treated	rf	0.2727272727272727	0.9125407925407928	0.913
Stool Treated	rf	0.2828282828282829	0.912843822843823	0.913
Stool Treated	rf	0.2929292929292929	0.9131468531468534	0.913
Stool Treated	rf	0.303030303030303	0.9251165501165504	0.913
Stool Treated	rf	0.3131313131313131	0.9254195804195804	0.913
Stool Treated	rf	0.3232323232323232	0.9257226107226108	0.913
Stool Treated	rf	0.3333333333333333	0.9651282051282052	0.913
Stool Treated	rf	0.3434343434343435	0.9652797202797204	0.913
Stool Treated	rf	0.3535353535353536	0.9654312354312354	0.913
Stool Treated	rf	0.3636363636363636	0.9655827505827506	0.913
Stool Treated	rf	0.3737373737373737	0.9657342657342656	0.913
Stool Treated	rf	0.3838383838383838	0.9658857808857808	0.913
Stool Treated	rf	0.393939393939394	0.966037296037296	0.913
Stool Treated	rf	0.4040404040404041	0.9745221445221446	0.913
Stool Treated	rf	0.4141414141414142	0.9746736596736598	0.913
Stool Treated	rf	0.4242424242424242	0.974825174825175	0.913
Stool Treated	rf	0.4343434343434343	0.97497668997669	0.913
Stool Treated	rf	0.4444444444444445	0.9933333333333334	0.913
Stool Treated	rf	0.4545454545454546	0.9933333333333334	0.913
Stool Treated	rf	0.4646464646464647	0.9933333333333334	0.913
Stool Treated	rf	0.4747474747474748	0.9933333333333334	0.913
Stool Treated	rf	0.4848484848484848	0.9933333333333334	0.913
Stool Treated	rf	0.494949494949495	0.9933333333333334	0.913
Stool Treated	rf	0.5050505050505051	0.9933333333333334	0.913
Stool Treated	rf	0.5151515151515152	0.9933333333333334	0.913
Stool Treated	rf	0.5252525252525253	0.9933333333333334	0.913
Stool Treated	rf	0.5353535353535354	0.9933333333333334	0.913
Stool Treated	rf	0.5454545454545455	0.9933333333333334	0.913
Stool Treated	rf	0.5555555555555556	1.0	0.913
Stool Treated	rf	0.5656565656565657	1.0	0.913
Stool Treated	rf	0.5757575757575758	1.0	0.913
Stool Treated	rf	0.5858585858585859	1.0	0.913
Stool Treated	rf	0.595959595959596	1.0	0.913
Stool Treated	rf	0.6060606060606061	1.0	0.913
Stool Treated	rf	0.6161616161616162	1.0	0.913
Stool Treated	rf	0.6262626262626263	1.0	0.913
Stool Treated	rf	0.6363636363636365	1.0	0.913
Stool Treated	rf	0.6464646464646465	1.0	0.913
Stool Treated	rf	0.6565656565656566	1.0	0.913
Stool Treated	rf	0.6666666666666667	1.0	0.913
Stool Treated	rf	0.6767676767676768	1.0	0.913
Stool Treated	rf	0.686868686868687	1.0	0.913
Stool Treated	rf	0.696969696969697	1.0	0.913
Stool Treated	rf	0.7070707070707072	1.0	0.913
Stool Treated	rf	0.7171717171717172	1.0	0.913
Stool Treated	rf	0.7272727272727273	1.0	0.913
Stool Treated	rf	0.7373737373737375	1.0	0.913
Stool Treated	rf	0.7474747474747475	1.0	0.913
Stool Treated	rf	0.7575757575757577	1.0	0.913
Stool Treated	rf	0.7676767676767677	1.0	0.913
Stool Treated	rf	0.7777777777777778	1.0	0.913
Stool Treated	rf	0.787878787878788	1.0	0.913
Stool Treated	rf	0.797979797979798	1.0	0.913
Stool Treated	rf	0.8080808080808082	1.0	0.913
Stool Treated	rf	0.8181818181818182	1.0	0.913
Stool Treated	rf	0.8282828282828284	1.0	0.913
Stool Treated	rf	0.8383838383838385	1.0	0.913
Stool Treated	rf	0.8484848484848485	1.0	0.913
Stool Treated	rf	0.8585858585858587	1.0	0.913
Stool Treated	rf	0.8686868686868687	1.0	0.913
Stool Treated	rf	0.8787878787878789	1.0	0.913
Stool Treated	rf	0.888888888888889	1.0	0.913
Stool Treated	rf	0.8989898989898991	1.0	0.913
Stool Treated	rf	0.9090909090909092	1.0	0.913
Stool Treated	rf	0.9191919191919192	1.0	0.913
Stool Treated	rf	0.9292929292929294	1.0	0.913
Stool Treated	rf	0.9393939393939394	1.0	0.913
Stool Treated	rf	0.9494949494949496	1.0	0.913
Stool Treated	rf	0.9595959595959596	1.0	0.913
Stool Treated	rf	0.9696969696969696	1.0	0.913
Stool Treated	rf	0.97979797979798	1.0	0.913
Stool Treated	rf	0.98989898989899	1.0	0.913
Stool Treated	rf	1.0	1.0	0.913
Duodenum Active	lr	0.0	0.3833333333333333	0.744
Duodenum Active	lr	0.0101010101010101	0.3833333333333333	0.744
Duodenum Active	lr	0.0202020202020202	0.3833333333333333	0.744
Duodenum Active	lr	0.0303030303030303	0.3833333333333333	0.744
Duodenum Active	lr	0.0404040404040404	0.3833333333333333	0.744
Duodenum Active	lr	0.0505050505050505	0.3833333333333333	0.744
Duodenum Active	lr	0.0606060606060606	0.3833333333333333	0.744
Duodenum Active	lr	0.0707070707070707	0.3833333333333333	0.744
Duodenum Active	lr	0.0808080808080808	0.3833333333333333	0.744
Duodenum Active	lr	0.0909090909090909	0.3833333333333333	0.744
Duodenum Active	lr	0.101010101010101	0.3833333333333333	0.744
Duodenum Active	lr	0.1111111111111111	0.3833333333333333	0.744
Duodenum Active	lr	0.1212121212121212	0.3833333333333333	0.744
Duodenum Active	lr	0.1313131313131313	0.3833333333333333	0.744
Duodenum Active	lr	0.1414141414141414	0.3833333333333333	0.744
Duodenum Active	lr	0.1515151515151515	0.3833333333333333	0.744
Duodenum Active	lr	0.1616161616161616	0.3833333333333333	0.744
Duodenum Active	lr	0.1717171717171717	0.4966666666666666	0.744
Duodenum Active	lr	0.1818181818181818	0.4966666666666666	0.744
Duodenum Active	lr	0.1919191919191919	0.4966666666666666	0.744
Duodenum Active	lr	0.202020202020202	0.6209523809523809	0.744
Duodenum Active	lr	0.2121212121212121	0.6209523809523809	0.744
Duodenum Active	lr	0.2222222222222222	0.6209523809523809	0.744
Duodenum Active	lr	0.2323232323232323	0.6209523809523809	0.744
Duodenum Active	lr	0.2424242424242424	0.6209523809523809	0.744
Duodenum Active	lr	0.2525252525252525	0.6209523809523809	0.744
Duodenum Active	lr	0.2626262626262626	0.6209523809523809	0.744
Duodenum Active	lr	0.2727272727272727	0.6209523809523809	0.744
Duodenum Active	lr	0.2828282828282829	0.6209523809523809	0.744
Duodenum Active	lr	0.2929292929292929	0.6209523809523809	0.744
Duodenum Active	lr	0.303030303030303	0.6209523809523809	0.744
Duodenum Active	lr	0.3131313131313131	0.6209523809523809	0.744
Duodenum Active	lr	0.3232323232323232	0.6209523809523809	0.744
Duodenum Active	lr	0.3333333333333333	0.6542857142857144	0.744
Duodenum Active	lr	0.3434343434343435	0.6542857142857144	0.744
Duodenum Active	lr	0.3535353535353536	0.6542857142857144	0.744
Duodenum Active	lr	0.3636363636363636	0.6542857142857144	0.744
Duodenum Active	lr	0.3737373737373737	0.6542857142857144	0.744
Duodenum Active	lr	0.3838383838383838	0.6542857142857144	0.744
Duodenum Active	lr	0.393939393939394	0.6542857142857144	0.744
Duodenum Active	lr	0.4040404040404041	0.7604761904761905	0.744
Duodenum Active	lr	0.4141414141414142	0.7604761904761905	0.744
Duodenum Active	lr	0.4242424242424242	0.7604761904761905	0.744
Duodenum Active	lr	0.4343434343434343	0.7604761904761905	0.744
Duodenum Active	lr	0.4444444444444445	0.7604761904761905	0.744
Duodenum Active	lr	0.4545454545454546	0.7604761904761905	0.744
Duodenum Active	lr	0.4646464646464647	0.7604761904761905	0.744
Duodenum Active	lr	0.4747474747474748	0.7604761904761905	0.744
Duodenum Active	lr	0.4848484848484848	0.7604761904761905	0.744
Duodenum Active	lr	0.494949494949495	0.7604761904761905	0.744
Duodenum Active	lr	0.5050505050505051	0.8204761904761908	0.744
Duodenum Active	lr	0.5151515151515152	0.8204761904761908	0.744
Duodenum Active	lr	0.5252525252525253	0.8204761904761908	0.744
Duodenum Active	lr	0.5353535353535354	0.8204761904761908	0.744
Duodenum Active	lr	0.5454545454545455	0.8204761904761908	0.744
Duodenum Active	lr	0.5555555555555556	0.8204761904761908	0.744
Duodenum Active	lr	0.5656565656565657	0.8204761904761908	0.744
Duodenum Active	lr	0.5757575757575758	0.8204761904761908	0.744
Duodenum Active	lr	0.5858585858585859	0.8204761904761908	0.744
Duodenum Active	lr	0.595959595959596	0.8204761904761908	0.744
Duodenum Active	lr	0.6060606060606061	0.9085714285714286	0.744
Duodenum Active	lr	0.6161616161616162	0.9085714285714286	0.744
Duodenum Active	lr	0.6262626262626263	0.9085714285714286	0.744
Duodenum Active	lr	0.6363636363636365	0.9085714285714286	0.744
Duodenum Active	lr	0.6464646464646465	0.9085714285714286	0.744
Duodenum Active	lr	0.6565656565656566	0.9085714285714286	0.744
Duodenum Active	lr	0.6666666666666667	0.9252380952380952	0.744
Duodenum Active	lr	0.6767676767676768	0.9252380952380952	0.744
Duodenum Active	lr	0.686868686868687	0.9252380952380952	0.744
Duodenum Active	lr	0.696969696969697	0.9252380952380952	0.744
Duodenum Active	lr	0.7070707070707072	0.9252380952380952	0.744
Duodenum Active	lr	0.7171717171717172	0.9252380952380952	0.744
Duodenum Active	lr	0.7272727272727273	0.9252380952380952	0.744
Duodenum Active	lr	0.7373737373737375	0.9252380952380952	0.744
Duodenum Active	lr	0.7474747474747475	0.9252380952380952	0.744
Duodenum Active	lr	0.7575757575757577	0.9252380952380952	0.744
Duodenum Active	lr	0.7676767676767677	0.9252380952380952	0.744
Duodenum Active	lr	0.7777777777777778	0.9252380952380952	0.744
Duodenum Active	lr	0.787878787878788	0.9252380952380952	0.744
Duodenum Active	lr	0.797979797979798	0.9252380952380952	0.744
Duodenum Active	lr	0.8080808080808082	0.9690476190476192	0.744
Duodenum Active	lr	0.8181818181818182	0.9690476190476192	0.744
Duodenum Active	lr	0.8282828282828284	0.9690476190476192	0.744
Duodenum Active	lr	0.8383838383838385	0.9757142857142856	0.744
Duodenum Active	lr	0.8484848484848485	0.9757142857142856	0.744
Duodenum Active	lr	0.8585858585858587	0.9757142857142856	0.744
Duodenum Active	lr	0.8686868686868687	0.9757142857142856	0.744
Duodenum Active	lr	0.8787878787878789	0.9757142857142856	0.744
Duodenum Active	lr	0.888888888888889	0.9757142857142856	0.744
Duodenum Active	lr	0.8989898989898991	0.9757142857142856	0.744
Duodenum Active	lr	0.9090909090909092	0.9757142857142856	0.744
Duodenum Active	lr	0.9191919191919192	0.9757142857142856	0.744
Duodenum Active	lr	0.9292929292929294	0.9757142857142856	0.744
Duodenum Active	lr	0.9393939393939394	0.9757142857142856	0.744
Duodenum Active	lr	0.9494949494949496	0.9757142857142856	0.744
Duodenum Active	lr	0.9595959595959596	0.9757142857142856	0.744
Duodenum Active	lr	0.9696969696969696	0.9757142857142856	0.744
Duodenum Active	lr	0.97979797979798	0.9757142857142856	0.744
Duodenum Active	lr	0.98989898989899	0.9757142857142856	0.744
Duodenum Active	lr	1.0	1.0	0.744
